_	 24030040
e	 7036450
r	 4603307
a	 4453873
n	 4153363
t	 3999211
i	 3606894
s	 3154332
o	 2844946
l	 2622052
d	 2209716
g	 2008939
k	 1866185
m	 1688406
?	 1680053
e_	 1377455
r_	 1376181
v	 1340378
er	 1233914
n_	 1122203
t_	 1116387
en	 1072545
u	 1005783
f	 1005195
ar	 998542
p	 966996
_s	 956242
de	 910980
.	 897998
an	 843870
._	 832525
g_	 772277
i_	 748505
_e	 735423
in	 734432
st	 708434
_o	 706747
te	 691901
,	 688068
,_	 685845
h	 667085
et	 665502
_i	 645821
ei	 644948
b	 644271
_f	 638990
er_	 632927
re	 632542
?_	 614466
j	 593088
or	 570251
en_	 563138
_d	 559252
_a	 552976
le	 549684
a_	 542540
y	 512800
ti	 496543
om	 495742
og	 494299
ne	 489336
_i_	 485409
el	 484391
_t	 481949
_v	 477750
_m	 463053
_og	 439627
ar_	 439341
me	 433014
og_	 431321
_og_	 426337
m_	 422579
_de	 421535
ng	 405589
nd	 400137
_h	 397406
ta	 386723
il	 382736
d_	 377876
ve	 369467
la	 369454
ra	 366400
sk	 365812
rt	 365410
et_	 360762
_k	 357758
l_	 356447
va	 348837
se	 335265
_?	 334377
_p	 334335
om_	 330168
is	 325818
av	 325516
al	 324331
nn	 322826
_.	 320252
tt	 314660
_._	 308697
_b	 306989
?r	 304532
_ei	 304425
ri	 304402
v_	 299955
je	 298908
on	 295484
so	 288742
ha	 285246
es	 285081
ed	 280858
ll	 280689
ke	 274925
li	 273946
_ti	 273661
ge	 267169
_me	 261887
_av	 261328
na	 256598
av_	 256338
til	 253599
fo	 247126
ka	 247030
_,	 245619
at	 245178
_,_	 245068
_av_	 241175
_so	 240234
var	 239899
te_	 239216
_er	 238835
ns	 238709
_va	 237465
it	 235886
_til	 235224
eg	 235209
_ha	 234097
_l	 230466
ik	 230000
S	 229474
_er_	 229269
da	 227814
ga	 225985
il_	 223573
for	 218114
s_	 215848
_n	 214263
ing	 214098
ne_	 212785
som	 211921
re_	 211219
un	 209405
r?	 209314
p?	 204930
si	 204704
_som	 204353
som_	 204260
til_	 204088
-	 202976
as	 202703
_var	 202527
k_	 201203
_til_	 201180
rt_	 201045
am	 200225
ein	 199971
_som_	 199712
_p?	 199185
an_	 198730
in_	 198629
_fo	 198514
to	 198084
_g	 196718
den	 195826
and	 195161
p?_	 193945
D	 193861
_S	 192543
_p?_	 191797
)	 187582
(	 186861
ste	 183740
_(	 182644
ma	 182464
rs	 181692
ter	 179873
_for	 179283
ei_	 178202
ed_	 177895
_D	 177788
de_	 176375
art	 175689
fr	 173703
c	 172457
tr	 172277
nt	 171172
id	 166431
ver	 166031
kk	 162445
or_	 161815
det	 160625
ko	 160100
_ein	 158575
_fr	 157685
ss	 157063
ein_	 155975
ek	 155399
_st	 155317
_u	 151405
rd	 150749
_r	 150260
_ein_	 149939
ru	 149895
sa	 149443
den_	 149242
ig	 146449
med	 146385
B	 146121
no	 145632
ro	 143939
_ve	 143917
der	 143600
vi	 143156
nde	 142419
H	 141891
pe	 140944
ut	 138864
ett	 138355
_med	 137638
ell	 137429
tte	 136972
us	 136359
kt	 134560
??	 134008
det_	 133069
_H	 132563
ol	 132250
kj	 132049
he	 131866
ad	 131455
for_	 131243
ag	 130040
)_	 128029
_B	 127323
ni	 127315
De	 127081
sp	 125671
r?_	 125433
sj	 124984
_De	 124099
ke_	 122960
ak	 121570
ld	 120712
med_	 120195
A	 119902
em	 119842
op	 119763
_for_	 118196
I	 118175
_den	 118080
gr	 116913
lle	 116281
fr?	 116011
_med_	 115962
_?_	 115740
_-	 115419
lan	 115367
K	 115294
ane	 114859
lo	 114813
M	 114125
pp	 113919
fr?_	 113781
kje	 113185
sta	 112932
_det	 112791
F	 111549
_fr?	 111189
jo	 110636
be	 110580
leg	 110431
gj	 110080
di	 109592
_fr?_	 109514
ov	 109512
art_	 109326
N	 108973
vart	 106716
ert	 105864
:	 105699
_K	 104420
var_	 104315
_den_	 104040
o_	 103286
T	 103168
rk	 102642
vart_	 102364
_se	 102225
_I	 102160
est	 101568
_F	 100358
_M	 100170
ist	 99422
dr	 99420
nge	 99268
-_	 98866
f?	 98043
_in	 97959
ir	 97869
_det_	 96748
st_	 96479
_vart	 96455
eg_	 96430
:_	 96298
ske	 96262
han	 96008
_A	 95592
ia	 95540
nga	 95448
E	 95428
ng_	 94896
gg	 94784
mi	 94765
ten	 94593
pr	 94569
ie	 94530
_var_	 94485
lt	 93490
by	 92837
_ko	 92036
der_	 91781
P	 91419
enn	 91355
_N	 90680
isk	 90506
ok	 89842
_si	 89594
ur	 89410
har	 89015
kr	 88713
_ut	 88696
nne	 88671
ord	 88542
_T	 88390
inn	 87418
_om	 86567
???	 86493
ot	 86021
sto	 85851
?r_	 85369
eit	 85329
_han	 85207
ge_	 85005
_-_	 84995
men	 84732
_har	 84253
s?	 84219
dei	 84128
_E	 84058
r.	 83844
ul	 83720
ter_	 83491
ane_	 83128
it_	 83094
_dei	 83052
pa	 82818
ste_	 82759
gje	 82360
L	 82269
ske_	 81639
har_	 81407
_har_	 81171
opp	 81128
ette	 80960
ent	 80647
le_	 80618
r._	 80506
sl	 80445
_sk	 80211
ts	 80024
br	 79531
_re	 79466
_la	 79230
iv	 78999
_P	 78883
ikk	 78765
_no	 77645
sk_	 77573
gar	 77441
ren	 77024
dei_	 76880
_dei_	 76468
ta_	 76342
ks	 76121
tt_	 75738
yr	 75431
dd	 75361
inga	 75106
bl	 74786
_f?	 74395
fe	 74316
