_	 3755579
a	 802863
e	 694128
i	 503826
n	 481646
l	 475457
r	 369254
t	 365564
a_	 357842
d	 348036
s	 299507
c	 279677
_d	 243478
e_	 236875
o	 220785
u	 217162
m	 205989
de	 202023
_de	 179715
l_	 178504
,	 161731
,_	 160698
'	 157128
p	 157098
_l	 150852
n_	 145016
g	 130561
_c	 129413
.	 125219
_a	 119008
de_	 117913
_de_	 115099
h	 115039
._	 112760
ü	 98544
la	 95751
f	 92798
_,	 90242
_,_	 90032
el	 89703
_s	 88582
è	 88568
er	 86950
_e	 82740
_p	 80670
in	 77974
en	 77685
à	 76859
i_	 76077
el_	 75277
b	 74458
_i	 72431
la_	 71694
v	 70841
al	 70286
t_	 70112
l'	 67074
un	 66316
_l'	 66113
na	 65894
an	 65011
ta	 64105
:	 63784
nt	 63387
_la	 62751
_.	 62306
_._	 61579
_la_	 60519
ar	 58645
re	 58608
ra	 56974
è_	 54004
it	 53625
ch	 53054
)	 52372
del	 52252
(	 51759
:_	 51222
del_	 50644
z	 50003
na_	 49669
_del	 49504
_t	 49358
st	 48713
_del_	 48521
_'	 47000
'è	 46500
'è_	 46051
te	 45435
ri	 45244
_(	 45221
on	 44659
da	 42294
_e_	 42285
es	 41941
r_	 41935
l'è	 40989
_l'è	 40924
l'è_	 40676
_l'è_	 40611
_in	 40122
_f	 40118
_m	 39850
cu	 38148
_a_	 37950
si	 37473
L	 37293
di	 36231
_g	 36173
E	 35675
ia	 35288
ca	 35218
nd	 34681
is	 34166
al_	 34130
in_	 33746
_L	 33668
'n	 33585
co	 33472
_'n	 33457
_cu	 33180
_E	 33091
ì	 32904
ma	 32808
)_	 31947
tr	 31909
li	 31169
k	 31132
mü	 30890
s_	 30762
me	 30738
pe	 30359
se	 30310
_u	 29143
_in_	 28208
ss	 28120
_al	 28088
he	 27975
ti	 27669
S	 27568
at	 26882
da_	 26826
nc	 26760
ò	 26686
aa	 26638
or	 26495
nt_	 26004
_ch	 25917
ol	 25779
ü_	 25746
sa	 25531
o_	 25441
ab	 25067
El	 24843
ö	 24727
_r	 24680
_El	 24662
per	 24562
er_	 24410
El_	 24406
eg	 24381
_El_	 24316
pa	 24187
_di	 24152
ent	 24097
-	 24087
pr	 23748
ur	 23620
ci	 23546
ra_	 23481
en_	 23474
I	 23430
tà	 23423
le	 23374
po	 23353
é	 23193
à_	 23108
_co	 22979
gh	 22968
ic	 22733
A	 22626
as	 22566
um	 22044
zi	 22040
ù	 21870
che	 21800
aa_	 21723
_b	 21700
am	 21629
_un	 21571
h_	 21554
_v	 21321
C	 21227
gi	 21070
et	 20954
ni	 20942
he_	 20877
_ab	 20801
un_	 20791
?	 20740
_al_	 20559
üm	 20505
_pr	 20469
_el	 20361
ve	 20157
im	 19972
_S	 19890
fi	 19769
cü	 19707
km	 19672
cc	 19644
bi	 19464
ha	 19422
ó	 19382
om	 19377
va	 19271
_I	 19083
_che	 18978
io	 18927
_el_	 18868
rt	 18774
ter	 18738
_cü	 18676
²	 18659
m²	 18622
ba	 18602
km²	 18600
_i_	 18545
ita	 18449
_da	 18398
ümü	 18083
cüm	 18082
che_	 18068
_cüm	 17893
_C	 17853
mü_	 17780
cümü	 17765
'na	 17753
_cümü	 17743
ümü_	 17740
_'na	 17728
'na_	 17718
_'na_	 17698
ad	 17554
cümü_	 17513
_A	 17333
m_	 17312
ro	 17133
ul	 17065
ità	 17049
t:	 17020
_che_	 16972
_pa	 16786
'h	 16513
on_	 16230
cun	 16193
_)	 16105
ch_	 16049
ù_	 15925
_se	 15911
ün	 15887
ng	 15858
_n	 15812
'ha	 15720
to	 15711
iù	 15683
??	 15663
ns	 15660
_te	 15603
B	 15513
ap	 15442
cum	 15403
_cun	 15368
P	 15345
-_	 15307
mi	 15202
ha_	 15123
R	 15074
abi	 14951
h'	 14949
_re	 14837
M	 14789
ig	 14742
il	 14742
ist	 14740
'ha_	 14694
_cum	 14551
bit	 14530
em	 14502
su	 14501
una	 14438
_pe	 14411
_gh	 14396
La	 14387
iù_	 14251
abit	 14115
ia_	 14022
us	 14013
ta_	 13884
sta	 13865
ant	 13864
res	 13805
ce	 13770
_ba	 13696
_abi	 13644
_abit	 13626
gn	 13579
ga	 13567
_k	 13449
_st	 13426
_ma	 13364
_o	 13340
sc	 13269
ent_	 13247
par	 13235
t:_	 13173
ne	 13127
'l	 13109
lt	 13017
no	 12996
_P	 12950
_per	 12947
ll	 12939
az	 12881
gh'	 12840
_gh'	 12794
iu	 12703
ün_	 12695
c_	 12668
_da_	 12645
_La	 12608
gr	 12551
ca_	 12541
x	 12519
'l_	 12504
bar	 12499
_km	 12491
_en	 12451
hi	 12418
rà	 12399
_M	 12375
/	 12373
àn	 12296
if	 12250
???	 12224
fì	 12092
men	 12017
se_	 12003
una_	 11959
pre	 11936
d_	 11931
_tr	 11927
mün	 11921
D	 11892
j	 11880
fe	 11851
ac	 11849
r:	 11833
_su	 11809
di_	 11530
iv	 11520
_)_	 11519
_km²	 11478
I_	 11477
_-	 11424
op	 11418
ncc	 11349
umü	 11342
mün_	 11334
_par	 11331
str	 11303
umün	 11276
_ci	 11196
ua	 11189
q	 11179
cumü	 11158
_B	 11133
eri	 11117
cumün	 11103
pi	 11081
G	 11063
r:_	 11047
_bar	 11021
La_	 11003
_cumü	 11002
ee	 10993
_una	 10974
_una_	 10972
va_	 10972
_R	 10916
'n_	 10887
umün_	 10885
ali	 10874
ion	 10874
_La_	 10865
_'n_	 10829
and	 10818
ar:	 10791
ar:_	 10791
_-_	 10762
